SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
1997;MONTEFALCONE DEL SANNIO;1880;OD:1880;41,86666667;14,63566667;520;Italia;Abruzzo;Quota ricavata da dem
1998;MONTEMITRO;1890;OD:1890;41,88916667;14,63566667;312;Italia;Abruzzo;Quota ricavata da dem
1999;CAMPOTOSTO;190;OD:190;42,53611111;13,40638889;1392;Italia;Abruzzo;Quota ricavata da dem
2000;PALATA;1900;OD:1900;41,89777778;14,78566667;381;Italia;Abruzzo;Quota ricavata da dem
2001;MAFALDA;1910;OD:1910;41,94111111;14,70233333;396;Italia;Abruzzo;Quota ricavata da dem
2002;LENTELLA;1920;OD:1920;41,99444444;14,67583333;343;Italia;Abruzzo;Quota ricavata da dem
2003;TERMOLI;1940;OD:1940;41,9825;14,96888889;59;Italia;Abruzzo;Quota ricavata da dem
2004;CAMPITELLO MATESE;1950;OD:1950;41,46111111;14,38566667;1438;Italia;Abruzzo;Quota ricavata da dem
2005;BOIANO;1960;OD:1960;41,49944444;14,45233333;496;Italia;Abruzzo;Quota ricavata da dem
2006;INDIPRETE;1970;OD:1970;41,54569444;14,3415;727;Italia;Abruzzo;Quota ricavata da dem
2007;SPINETE;1990;OD:1990;41,54277778;14,48566667;625;Italia;Abruzzo;Quota ricavata da dem
2008;COLONNELLA;20;OD:20;42,86666667;13869;228;Italia;Abruzzo;Quota ricavata da dem
2009;NERITO;200;OD:200;42,54833333;13,47777778;785;Italia;Abruzzo;Quota ricavata da dem
2010;ROCCAMANDOLFI;2000;OD:2000;41,49444444;14,35222222;772;Italia;Abruzzo;Quota ricavata da dem
2011;GUARDIAREGIA;2010;OD:2010;41,43555556;14,53566667;629;Italia;Abruzzo;Quota ricavata da dem
2012;VINCHIATURO;2020;OD:2020;41,49166667;14,58566667;606;Italia;Abruzzo;Quota ricavata da dem
2013;BARANELLO;2030;OD:2030;41,52944444;14,55233333;571;Italia;Abruzzo;Quota ricavata da dem
2014;CAMPOBASSO;2040;OD:2040;41,55;14,65233333;697;Italia;Abruzzo;Quota ricavata da dem
2015;CASTROPIGNANO;2050;OD:2050;41,61277778;14,53566667;693;Italia;Abruzzo;Quota ricavata da dem
2017;S.ANGELO LIMOSANO;2070;OD:2070;41695;14,60555556;834;Italia;Abruzzo;Quota ricavata da dem
2018;LUCITO;2080;OD:2080;41,74888889;14,68566667;616;Italia;Abruzzo;Quota ricavata da dem
2019;FANO ADRIANO;210;OD:210;42,55;13,53566667;642;Italia;Abruzzo;Quota ricavata da dem
2020;RIPABOTTONI;2100;OD:2100;41,68555556;14,80233333;581;Italia;Abruzzo;Quota ricavata da dem
2021;CIVITACAMPOMARANO;2110;OD:2110;41,78;14,68566667;462;Italia;Abruzzo;Quota ricavata da dem
2022;CASTELMAURO;2130;OD:2130;41,81666667;14,70233333;733;Italia;Abruzzo;Quota ricavata da dem
2023;PONTE LISCIONE  (ex GUARDIALFIERA);2140;OD:2140;41,80722222;14,80861111;139;Italia;Abruzzo;Quota ricavata da dem
2024;LARINO;2150;OD:2150;41,80055556;14919;418;Italia;Abruzzo;Quota ricavata da dem
2025;GUGLIONESI;2160;OD:2160;41,91;14,90233333;233;Italia;Abruzzo;Quota ricavata da dem
2027;CASACALENDA;2180;OD:2180;41,74;14,8525;507;Italia;Abruzzo;Quota ricavata da dem
2028;PORTOCANNONE;2190;OD:2190;41,90277778;15,00238889;131;Italia;Abruzzo;Quota ricavata da dem
2029;PIETRACAMELA;220;OD:220;42,52361111;13,55472222;1126;Italia;Abruzzo;Quota ricavata da dem
2030;URURI;2200;OD:2200;41,81666667;15019;211;Italia;Abruzzo;Quota ricavata da dem
2031;SERRACAPRIOLA;2210;OD:2210;41,80944444;15,15222222;226;Italia;Abruzzo;Quota ricavata da dem
2032;CHIEUTI SCALO  (ex TORRE FANTINA);2220;OD:2220;41,9215;15,15597222;3;Italia;Abruzzo;Quota ricavata da dem
2033;MONTEFALCONE  VALFORTORE;2230;OD:2230;41,32222222;15,00233333;872;Italia;Abruzzo;Quota ricavata da dem
2034;ROSETO VALFORTORE;2250;OD:2250;41,37444444;15,08566667;598;Italia;Abruzzo;Quota ricavata da dem
2035;S.BARTOLOMEO IN GALDO;2260;OD:2260;41,41111111;15,01913889;591;Italia;Abruzzo;Quota ricavata da dem
2036;CASTELVETERE  VALFORTORE;2270;OD:2270;41,44166667;14,90233333;901;Italia;Abruzzo;Quota ricavata da dem
2037;VOLTURARA APPULA;2280;OD:2280;41,51388889;15,05233333;529;Italia;Abruzzo;Quota ricavata da dem
2038;VILLA VALLUCCI;230;OD:230;42,60111111;13,6125;497;Italia;Abruzzo;Quota ricavata da dem
2039;CAMPOLIETO;2320;OD:2320;41,66388889;14,7675;637;Italia;Abruzzo;Quota ricavata da dem
2040;RICCIA;2340;OD:2340;41,48833333;14,83566667;633;Italia;Abruzzo;Quota ricavata da dem
2041;GAMBATESA;2350;OD:2350;41,5;14,90233333;455;Italia;Abruzzo;Quota ricavata da dem
2043;S.ELIA A PIANISI;2370;OD:2370;41,62333333;14,88;603;Italia;Abruzzo;Quota ricavata da dem
2044;COLLETORTO;2380;OD:2380;41,66388889;14,96888889;450;Italia;Abruzzo;Quota ricavata da dem
2045;FANO A CORNO;240;OD:240;42,49111111;13,61472222;685;Italia;Abruzzo;Quota ricavata da dem
2046;BONEFRO;2400;OD:2400;41,70277778;14,93555556;557;Italia;Abruzzo;Quota ricavata da dem
2047;MASSERIA MONTESECCO  (ex VERRUSIO);2410;OD:2410;41,73333333;15,08566667;208;Italia;Abruzzo;Quota ricavata da dem
2048;CASTELNUOVO DELLA  DAUNIA;2420;OD:2420;41,60444444;15,15244444;221;Italia;Abruzzo;Quota ricavata da dem
2049;AZIENDA AGRIALCO;2440;OD:2440;41,84111111;15169;218;Italia;Abruzzo;Quota ricavata da dem
2050;SAN NICOLA;2460;OD:2460;42,11911111;15,50405556;NA;Italia;Abruzzo;Quota ricavata da dem
2051;SAN NICOLA;2470;OD:2470;42,11911111;15,50405556;NA;Italia;Abruzzo;Quota ricavata da dem
2052;S. GABRIELE;250;OD:250;42,51666667;13,65233333;433;Italia;Abruzzo;Quota ricavata da dem
2053;TAGLIACOZZO;2510;OD:2510;42,06777778;13,26527778;752;Italia;Abruzzo;Quota ricavata da dem
2054;ROCCACERRO (TAGLIACOZZO);2520;OD:2520;42,07083333;13,20166667;1206;Italia;Abruzzo;Quota ricavata da dem
2055;VERRECCHIE (CAPPADOCIA);2530;OD:2530;42,03583333;13,24861111;992;Italia;Abruzzo;Quota ricavata da dem
2056;VILLA S.SEBASTIANO (TAGLIACOZZO);2540;OD:2540;42,0325;13305;810;Italia;Abruzzo;Quota ricavata da dem
2057;COLLELONGO;2550;OD:2550;41,8975;13,57888889;850;Italia;Abruzzo;Quota ricavata da dem
2058;PERETO;2560;OD:2560;42,05888889;13,10861111;974;Italia;Abruzzo;Quota ricavata da dem
2059;CARSOLI, PIETRASECCA;2570;OD:2570;42,13361111;13,13138889;890;Italia;Abruzzo;Quota ricavata da dem
2060;OVINDOLI;2580;OD:2580;42155;13,51305556;1368;Italia;Abruzzo;Quota ricavata da dem
2061;SAN VINCENZO VALLE ROVETO, ROCCAVIVI;2590;OD:2590;41,81916667;13,53111111;437;Italia;Abruzzo;Quota ricavata da dem
2062;ISOLA DEL G.SASSO  (PRETARA);260;OD:260;42,48444444;13665;516;Italia;Abruzzo;Quota ricavata da dem
2063;COLLARMELE;2600;OD:2600;42,06;13,62583333;833;Italia;Abruzzo;Quota ricavata da dem
2064;ORTUCCHIO;2610;OD:2610;41,95722222;13,64861111;665;Italia;Abruzzo;Quota ricavata da dem
2065;CELANO;2620;OD:2620;42,07388889;13,53694444;711;Italia;Abruzzo;Quota ricavata da dem
2067;CASTELLI;270;OD:270;42,48472222;13,71194444;501;Italia;Abruzzo;Quota ricavata da dem
2068;TOSSICIA - AZZINANO;275;OD:275;42,55638889;13,63194444;554;Italia;Abruzzo;Quota ricavata da dem
2069;TOSSICIA;280;OD:280;42,55;13,65233333;415;Italia;Abruzzo;Quota ricavata da dem
2071;NERETO;30;OD:30;42,82194444;13,81277778;156;Italia;Abruzzo;Quota ricavata da dem
2072;GUARDIA VOMANO;300;OD:300;42,63388889;13,8975;122;Italia;Abruzzo;Quota ricavata da dem
2073;PONTE VOMANO;310;OD:310;42,60888889;13,76861111;136;Italia;Abruzzo;Quota ricavata da dem
