n.ord;bacino;zonaAllerta;provincia;comune;localita;nomeStazione;lat;lon;quota;tipoStazione;P;T;Idro;codStaz;codIdro
51;Vomano;Abru-A;TE;Isola del Gran Sasso;Fano a Corno;Isola del Gran Sasso, Fano a Corno;42.491062;13.614709;658;TP;21231;21232;;312800;240
52;Sangro;Abru-D1;CH;Lama dei Peligni;;Lama dei Peligni;42.039639;14.185388;655;TP;21247;21248;;313700;1580
53;Feltrino;Abru-C;CH;Lanciano;;Lanciano;42.225794;14.384463;298;TP;21249;21250;;313800;1330
54;Aterno-Pescara;Abru-B;AQ;L'Aquila;Assergi;L'Aquila, Assergi;42.419635;13.518139;992;TP;15791;15792;;198000;590
55;Aterno-Pescara;Abru-B;AQ;L'Aquila;S. Elia;L'Aquila, S. Elia;42.334135;13.428691;595;TP;15823;15824;;197100;550
56;Aterno-Pescara;Abru-B;AQ;L'Aquila;Campo Imperatore;L'Aquila, Campo Imperatore;42.443832;13.557805;2137;TP;38407;38408;;514400;580
57;Aterno-Pescara;Abru-B;AQ;L'Aquila;Centro Funzionale;L'Aquila, Centro Funzionale;42.356620;13.374558;650;TP;51088;51086;;707100;545
58;Trigno;Abru-D2;CH;Lentella;;Lentella;41.994562;14.675740;372;TP;21253;21254;;314000;1920
59;Tavo;Abru-C;PE;Loreto Aprutino;Poggioragone;Loreto Aprutino;42.384215;13.947009;312;TP;39689;39690;;548600;395
60;Aterno-Pescara;Abru-C;PE;Manoppello;C.da Baccigno;Manoppello;42.249852;14.071464;297;TP;21259;21260;;314300;1050
61;Sinello;Abru-D1;CH;Montazzoli;C.da Fonte Iannette;Montazzoli;41.942279;14.427948;871;TP;15830;15831;;198500;1680
62;Saline;Abru-C;TE;Montefino;;Montefino;42.547080;13.885752;332;TP;21261;21262;;314400;430
63;Sangro;Abru-D1;CH;Montenerodomo;Fonticelle;Montenerodomo;41.989885;14.248695;1001;TP;21599;21600;;334000;1520
64;Aterno-Pescara;Abru-B;AQ;Montereale;;Montereale;42.526194;13.241389;913;TP;15834;15835;;197700;470
65;Saline;Abru-C;PE;Montesilvano;C.da Fonte dell'Olmo;Montesilvano;42.489261;14.129684;96;TP;21341;21342;;314600;440
66;Saline;Abru-C;PE;Moscufo;Sterparo dei Santi;Moscufo;42.426046;14.066760;173;TP;21265;21266;;314700;400
67;Vibrata;Abru-A;TE;Nereto;;Nereto;42.821825;13.812815;165;TP;39674;39675;;548300;30
68;Arielli;Abru-C;CH;Orsogna;C.da Paduli;Orsogna;42.225408;14.270414;410;TP;21267;21268;;314800;1310
69;Litoranea tra Foro e Feltrino;Abru-C;CH;Ortona;;Ortona;42.349644;14.404905;75;TP;21269;21270;;314900;1300
70;Marsica;Abru-E;AQ;Ortucchio;;Ortucchio;41.957213;13.648631;665;TP;48541;48542;;650200;2610
71;Marsica;Abru-E;AQ;Ovindoli;Campo Porcaro;Ovindoli;42.155082;13.512922;1371;TP;38368;38369;;496800;2580
72;Sangro;Abru-D1;CH;Palena;;Palena;41.983950;14.137512;781;TP;21605;21606;;337000;1570
73;Trigno;Abru-D1;CH;Palmoli;;Palmoli;41.941814;14.583286;624;TP;21277;21278;;315300;1870
74;Sangro;Abru-D1;CH;Pennapiedimonte;;Pennapiedimonte;42.151825;14.194632;679;TP;21279;21280;;315400;1620
75;Saline;Abru-C;PE;Penne;Diga;Penne, Diga;42.440111;13.915028;260;TP;58062;58060;;761000;385
76;Marsica;Abru-E;AQ;Pereto;;Pereto;42.058830;13.108555;921;TP;38376;38377;;496900;2560
77;Aterno-Pescara;Abru-C;PE;Pescara;"S. Silvestro; Scuola Media B. Croce";Pescara;42.449625;14.242365;2;TP;19149;19150;;263800;1160
78;Aterno-Pescara;Abru-C;PE;Pescara;"Pescara Colli; Itis Di Marzio";Pescara, Colli;42.468779;14.194432;21;TP;21627;21628;;339000;1155
79;Sangro;Abru-D1;AQ;Pescasseroli;;Pescasseroli;41.809535;13.792313;1164;TP;21609;21610;;340000;1350
80;Altopiano di Pescocostanzo;Abru-D1;AQ;Pescocostanzo;Parcheggio Seggiovia;Pescocostanzo;41.888193;14.059022;1461;TP;15837;15838;;198400;1180
81;Aterno-Pescara;Abru-C;PE;Pescosansonesco;Pesco Nuovo;Pescosansonesco, Pesco Nuovo;42.253662;13.884521;533;TP;21281;21282;;315500;960
82;Vomano;Abru-A;TE;Pietracamela;;Pietracamela;42.523632;13.554663;1043;TP;21343;21344;;315600;220
83;Litoranea tra Vomano e Piomba;Abru-A;TE;Pineto;Villa Fumosa;Pineto;42.623614;14.055015;4;TP;21283;21284;;315700;333
84;Aterno-Pescara;Abru-B;AQ;Pizzoli;;Pizzoli;42.428651;13.317404;765;TP;48526;48525;;650500;510
85;Aterno-Pescara;Abru-B;AQ;Pratola Peligna;Bagnaturo;Pratola Peligna, Bagnaturo;42.093211;13.909354;345;TP;21161;21162;;310200;840
86;Foro;Abru-C;CH;Pretoro;Passo Lanciano;Pretoro, Passo Lanciano;42.189962;14.099387;1314;TP;19191;19192;;263500;1220
